id;catalogueId;type;title;technique;measurements;creatordate;displaydate;style
127;485;3;Improvisation mit kalten Formen;Oil on canvas;120 x 140 cm;1914;\N;49
128;486;3;Bild mit rotem Fleck;Oil on canvas;130 x 130 cm;1914;\N;49
129;488;3;Bild mit runden Formen;Oil on canvas;120 x 110 cm;1914;\N;49
130;527;3;Kochel - Weg nach Schlehdorf;Oil on cardboard (?);30 x 45 cm\
or 45x30 cm;1902;\N;45
131;543;3;Die letzten Strahlen;Oil (support unknown);95 x 45 cm\
or 45x95 cm;1904;\N;45
132;560;3;Bild mit blauer Wolke;Oil (support unknown);72 x 52 cm\
or 52x72 cm;\N;\N;45
133;570;3;Hügel mit Rosa;Oil (support unknown);70 x 70 cm;1909;\N;45
134;572;3;Studie zu Bild mit Bogenschützen;Oil on canvas (?);106 x 97 cm;1909;\N;45
135;573;3;Die Hügel;Oil (support unknown);78 x 100 cm;1909;\N;45
136;574;3;Murnau - Landschaft mit Schule;Oil (support unknown);unknown;1909;\N;45
137;578;3;Berge;Oil on cardboard;98 x 70 cm\
or 70x98 cm;1909;\N;45
138;583;3;Skizze zu Komposition VI;Oil (support unknown);unknown;1913;\N;45
139;54;2;Zweikampf;Tempera (gouache?) on brown cardboard;46.5 x 77 cm;1902;\N;47
140;67;23;Alte Zeiten;Tempera;unknown;\N;\N;45
141;71;23;Der Schatten;Tempera;unknown;1903;\N;48
142;74;23;Der reitende Ritter;Tempera;unknown;1903;\N;47
143;77;23;Reitendes Paar;Tempera;75 x 99 cm;1903;\N;\N
144;86;23;Grüner Vogel;Tempera;unknown;1903;\N;47
145;88;2;Weisse Wolke;Gouache on dark grey cardboard;41.8 x 35.5 cm;1903;\N;47
146;103;2;Das Junge Paar;Gouache on grey cardboard;40.5 x 56.7 cm;1904;\N;47
147;113;2;Karneval;Gouache and crayon on brown cardboard;38.5 x 55.5 cm;1904;\N;47
148;124;23;Im Königsgarten;Tempera;unknown;1904;\N;45
149;140;2;Die Schiffe (Holland);Gouache on greyish brown cardboard;35 x 50 cm;1904;\N;47
150;183;2;Arabische Reiterei;Gouache on dark-brown cardboard;28.8 x 41.5 cm;1905;\N;47
